Training Log - 20250611_154257
Parameters:
  Sequence Length: 32
  Correlation Strength Param: 8
  Train Dataset Size: 1000
  Test Dataset Size: 100
  Model: 2 layers, d_model=256, nhead=4
  Training Steps: 100000
  Batch Size: 32
  Learning Rate: 0.0001
Theoretical True Per-Bit Entropy (Lower Bound NLL): 0.6616

Step,Model_NLL,Memorization_Accuracy(Train),Generalization_Accuracy(Test)
200,0.6716,61.90,62.00
400,0.6682,60.69,62.00
600,0.6620,64.82,62.00
800,0.7007,60.18,62.00
1000,0.6701,62.20,62.00
1200,0.6708,62.40,62.00
1400,0.6604,64.31,62.00
1600,0.6588,61.90,62.00
1800,0.6788,62.00,62.00
2000,0.6494,61.19,62.00
2200,0.6608,61.79,62.00
2400,0.6539,61.69,62.00
2600,0.6728,61.19,62.00
2800,0.6576,63.61,62.00
3000,0.6594,62.80,62.00
3200,0.6853,63.10,62.00
3400,0.6710,64.82,62.00
3600,0.6774,63.61,62.00
3800,0.6728,60.58,62.00
4000,0.6639,60.69,62.00
4200,0.6512,63.31,62.00
4400,0.6574,62.10,62.00
4600,0.6619,62.90,62.00
4800,0.6924,59.78,62.00
5000,0.6598,61.49,62.00
5200,0.6659,65.62,62.00
5400,0.6691,62.90,62.00
5600,0.6355,63.41,62.00
5800,0.6695,62.20,62.00
6000,0.6580,62.90,62.00
6200,0.6491,62.70,62.03
6400,0.6509,64.92,61.74
6600,0.6513,63.51,61.84
6800,0.6771,63.00,61.61
7000,0.6634,63.41,61.52
7200,0.6214,62.40,61.65
7400,0.6472,60.58,61.68
7600,0.6550,63.51,61.19
7800,0.6471,62.10,61.35
8000,0.6546,63.71,61.32
8200,0.6633,61.79,61.39
8400,0.6604,61.90,61.45
8600,0.6720,62.50,61.39
8800,0.6328,61.90,61.39
9000,0.6438,59.78,60.00
9200,0.6555,62.60,59.16
9400,0.6360,60.08,60.42
9600,0.6555,64.01,60.65
9800,0.6657,65.62,60.42
10000,0.6404,64.72,59.87
10200,0.6475,62.40,60.61
10400,0.6503,63.71,60.16
10600,0.6290,62.80,59.94
10800,0.6465,65.42,59.16
11000,0.6447,64.21,59.61
11200,0.6165,64.52,59.19
11400,0.6434,63.71,57.94
11600,0.6240,66.63,59.68
11800,0.6342,64.01,59.26
12000,0.5910,65.42,59.16
12200,0.6389,66.03,57.90
12400,0.6132,66.43,58.55
12600,0.6240,67.34,57.65
12800,0.6671,70.16,57.74
13000,0.6230,64.31,57.90
13200,0.6190,66.03,58.03
13400,0.6265,66.83,57.39
13600,0.6447,68.75,57.55
13800,0.6118,66.43,57.19
